Time,Light2/light string 1,Light2/light string 2,Fan3/fan,Total Load
1.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
2.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
3.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
4.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
5.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
6.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
7.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
8.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
9.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
10.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
11.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
12.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
13.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
14.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
15.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
16.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
17.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
18.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
19.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
20.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
21.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
22.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
23.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
24.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
25.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
26.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
27.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
28.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
29.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
30.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
31.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
32.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
33.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
34.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
35.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
36.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
37.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
38.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
39.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
40.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
41.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
42.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
43.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
44.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
45.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
46.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
47.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
48.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
49.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
50.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
51.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
52.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
53.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
54.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
55.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
56.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
57.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
58.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
59.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
60.0,55.375140463572606,36.75512825865854,143.5,235.63026872223114
